Student_id,College,Department,Class,Grade,Name,Email,Password,gender,Credit
E0835581,建設學院,土管系,甲,四,蔣合呃,epmp1qxYN@mail.fcu.edu.tw,0,女,0
M0491078,商學院,會計系,丙,四,方雋乃,rHjH2qi@yahoo.com.tw,0,女,0
E0640152,商學院,國貿系全英班,丙,二,洪愾夏,igi62WYl@gmail.com,0,男,0
D0466469,工程與科學學院,光電系,甲,二,宋柩燄,EpYj4gL@mail.fcu.edu.tw,0,男,0
E0480408,資電學院,資電系,甲,四,歐助挑,GbsYI7@gmail.com,0,女,0
M0430916,資電學院,自控系,甲,二,袁政鵝,SqsXlJTlO@mail.fcu.edu.tw,0,男,0
E0323246,工程與科學學院,應數系,丙,四,曾慚苧,Vv8De@gmail.com,0,女,0
M0595553,建設學院,水利系,甲,二,白淪這,u2KphGxt@mail.fcu.edu.tw,0,男,0
E0527536,工程與科學學院,精密學程,丁,四,謝崧辱,6qT6ds8py@o365.fcu.edu.tw,0,女,0
M0410867,建設學院,運輸物流系,丁,二,范姜廾液,VivpSq@yahoo.com.tw,0,女,0
E0894738,資電學院,電機系,甲,二,杜枓節,MESWYDL2Wb@gmail.com,0,男,0
D0691134,商學院,會計系,甲,四,林鵝她,Bk7AV@yahoo.com.tw,0,男,0
E0378237,工程與科學學院,材料系,乙,二,姜軌溉,8j7FPGdR2j@mail.fcu.edu.tw,0,女,0
D0349621,資電學院,電機系,乙,四,藍鬍子,8vZ96@o365.fcu.edu.tw,0,男,0
E0441548,資電學院,自控系,丙,三,連擾餚,rGN3CEphlq@yahoo.com.tw,0,女,0
M0314030,資電學院,電機系,乙,四,卓好鋒,MV10A@gmail.com,0,男,0
D0833499,資電學院,資工系,丁,二,宋洪翳,Sm1zEWdhk@yahoo.com.tw,0,男,0
D0696198,工程與科學學院,纖複系,丙,一,蔣攘枕,weFmc@o365.fcu.edu.tw,0,女,0
D0591274,工程與科學學院,應數系,乙,四,曹摟容,sVWeCF@o365.fcu.edu.tw,0,男,0
D0799096,建設學院,都資系,丙,三,邵糟廈,uy1RfI@gmail.com,0,女,0
E0660725,資電學院,資電系,乙,四,洪逝春,7fdS@o365.fcu.edu.tw,0,女,0
E0492988,工程與科學學院,應數系,丁,三,曾枉保,vWoOdbwi1l@gmail.com,0,男,0
E0445435,工程與科學學院,環工系,丙,三,蔡珞乍,Mqs2wGA@o365.fcu.edu.tw,0,女,0
E0400500,商學院,經濟系,丙,四,施影廂,HKEjLWhX2@yahoo.com.tw,0,男,0
M0560326,商學院,經濟系,甲,四,湯垃彫,ozrwus@yahoo.com.tw,0,女,0
M0600667,工程與科學學院,機電系,丁,二,張鈴將,Z2RVRwwq@o365.fcu.edu.tw,0,女,0
M0328575,商學院,統計系,乙,二,張鯛烤,2cf2zbn1VC@yahoo.com.tw,0,男,0
E0381038,商學院,商學學士學位學程,甲,一,田嚇拯,JDHAi@o365.fcu.edu.tw,0,男,0
D0752319,資電學院,電子系,丙,二,柯櫚圯,33CWG@mail.fcu.edu.tw,0,男,0
D0847902,工程與科學學院,工工系,乙,三,韓瀚系,pe5gtcFx@o365.fcu.edu.tw,0,女,0
E0748953,商學院,國貿系,甲,三,沈峻君,g8OP@o365.fcu.edu.tw,0,女,0
M0777374,商學院,財稅系,乙,三,彭甥咚,trqBv@o365.fcu.edu.tw,0,男,0
E0787862,資電學院,資工系,丙,三,方廟羯,WUTrn8Vm@gmail.com,0,男,0
D0419639,商學院,行銷系,丙,一,袁甫几,ZdxfJN6@yahoo.com.tw,0,女,0
D0690301,工程與科學學院,化工系,丙,四,鄒黜郝,oOmIiiqh@mail.fcu.edu.tw,0,男,0
M0715383,商學院,統計系,甲,一,韓巽猩,PcFGoN5On@mail.fcu.edu.tw,0,男,0
