Student_id,College,Department,Class,Grade,Name,Email,Password,gender,Credit
E0855948,建設學院,土管系,乙,二,童球鵑,6oWNgL5IX@o365.fcu.edu.tw,0,男,0
D0756095,工程與科學學院,材料系,丁,一,卓辮瞌,UJ1KirV9E@o365.fcu.edu.tw,0,男,0
E0567115,建設學院,運輸物流系,甲,一,馮義遮,Prp5HY@yahoo.com.tw,0,女,0
M0539677,資電學院,通訊系,丁,一,卓砸彩,MCuCoH66@yahoo.com.tw,0,女,0
E0820577,建設學院,土木系,丁,二,鍾居腿,4jzwvPE@yahoo.com.tw,0,男,0
M0675912,工程與科學學院,環工系,乙,一,歐陽鑼猩,Tk8Mebx2@yahoo.com.tw,0,女,0
D0597156,工程與科學學院,光電系,甲,三,高簡痙郡,f8HLG@o365.fcu.edu.tw,0,男,0
E0343753,資電學院,自控系,丁,三,宋湩激,ZGKeno@o365.fcu.edu.tw,0,男,0
E0614267,工程與科學學院,環工系,甲,一,程娜閑,ceFR@o365.fcu.edu.tw,0,女,0
M0784072,工程與科學學院,光電系,丙,四,吳茅牢,r0M4r@o365.fcu.edu.tw,0,女,0
E0437266,工程與科學學院,光電系,乙,四,方銷破,vJgmWsIRhs@yahoo.com.tw,0,女,0
M0350347,建設學院,都資系,甲,一,廖嘯腥,7vw4OXjWLg@o365.fcu.edu.tw,0,女,0
D0682551,商學院,國貿系,乙,一,歐陽鐲聞,wNxZR@yahoo.com.tw,0,女,0
D0407825,商學院,國貿系,甲,一,陳徵訑,YvLTXL8Khq@o365.fcu.edu.tw,0,男,0
D0692299,商學院,統計系,丁,二,魏妯鵪,GYNOb@gmail.com,0,女,0
D0852264,商學院,統計系,丁,三,翁瑾櫂,5xqI4mxABJ@o365.fcu.edu.tw,0,女,0
E0699794,資電學院,自控系,甲,四,鄧奄吼,54wN5@o365.fcu.edu.tw,0,女,0
D0476478,工程與科學學院,機電系,乙,四,許瓠篦,lN3zOyvo@gmail.com,0,男,0
D0529954,建設學院,土木系,丙,三,邵淵瀏,RSfR0M9@yahoo.com.tw,0,女,0
D0861887,商學院,財稅系,乙,三,蔣盍聲,KhvH@gmail.com,0,女,0
D0408598,資電學院,電機系,乙,四,周腸暇,oTtOhLjjUF@mail.fcu.edu.tw,0,女,0
D0300335,工程與科學學院,工工系,丙,二,鐘鰭饞,DGMo@yahoo.com.tw,0,女,0
D0459125,資電學院,資電系,乙,一,巫漠磋,cZ4gNpWX@yahoo.com.tw,0,女,0
M0605733,工程與科學學院,材料系,乙,四,康徒坪,rh9Tmq4@o365.fcu.edu.tw,0,女,0
D0567998,資電學院,電子系,丁,二,鄧鈹暗,jwYS4@mail.fcu.edu.tw,0,男,0
D0791081,資電學院,資電系,丙,三,施搖肛,4m3ZY8CuH@yahoo.com.tw,0,女,0
D0691466,工程與科學學院,工工系,乙,三,王淫惰,KSiwlAhd@o365.fcu.edu.tw,0,男,0
D0681905,商學院,商學學士學位學程,甲,一,歐鴉尚,FzAtC3qE@yahoo.com.tw,0,男,0
E0839753,工程與科學學院,環工系,乙,二,羅媲磋,LjEBO@o365.fcu.edu.tw,0,女,0
M0492020,建設學院,運輸物流系,乙,二,程苦女,TBVnC1W@mail.fcu.edu.tw,0,女,0
D0623178,商學院,合經系,丁,二,傅碎咨,bpoYc@o365.fcu.edu.tw,0,女,0
E0530214,商學院,行銷系,丁,四,潘叉琴,Tumni4@gmail.com,0,女,0
M0531656,商學院,會計系,甲,二,蘇蚌彫,oUznGduzpP@mail.fcu.edu.tw,0,女,0
M0428760,工程與科學學院,工工系,甲,四,唐仗鑼,brNP@gmail.com,0,男,0
