Teacher_id,Name,Password,College,Department,Class,Status
T0033,彭篠貽,0,電子系,資電學院,甲,副教授
T0226,韓送復,0,纖複系,工程與科學學院,甲,副教授
T0469,范鉅衹,0,行銷系,商學院,丙,教授
T0562,鄧蓀唏,0,纖複系,工程與科學學院,丙,助理教授
T0612,徐燈瘩,0,光電系,工程與科學學院,甲,助理教授
T0133,余甥遏,0,國貿系,商學院,丁,教授
T0515,楊腐歟,0,化工系,工程與科學學院,甲,副教授
T0101,鐘褂新,0,運輸物流系,建設學院,甲,教授
T0832,戴涿勉,0,統計系,商學院,丙,副教授
T0210,蕭柒宵,0,自控系,資電學院,丙,教授
T0018,田俘俠,0,土管系,建設學院,丙,副教授
T0731,顏竇稠,0,通訊系,資電學院,乙,助理教授
T0560,范姜鞍護,0,商學學士學位學程,商學院,丁,職員
T0239,周別殃,0,材料系,工程與科學學院,丙,教授
T0174,曹膀訢,0,統計系,商學院,乙,助理教授
T0430,黎刀漠,0,土木系,建設學院,丁,職員
T0343,范姜增砷,0,精密學程,工程與科學學院,丁,助理教授
T0259,詹人榫,0,材料系,工程與科學學院,乙,助理教授
T0647,楊燒青,0,國貿系,商學院,乙,副教授
T0790,宋柚夸,0,自控系,資電學院,丁,教授
T0294,傅淘攘,0,行銷系,商學院,丙,助理教授
T0797,尤稔鞭,0,會計系,商學院,丙,職員
T0819,胡無峴,0,精密學程,工程與科學學院,乙,副教授
T0584,蕭嫻確,0,企管系,商學院,乙,職員
T0258,侯勸淬,0,自控系,資電學院,甲,教授
T0554,鄒助頷,0,水利系,建設學院,丙,教授
T0149,龔沉邕,0,材料系,工程與科學學院,乙,教授
T0106,廖願波,0,國貿系,商學院,丁,教授
T0624,黎追貳,0,通訊系,資電學院,甲,職員
T0516,董遭羨,0,光電系,工程與科學學院,丁,教授
T0438,蕭蛄祿,0,國貿系全英班,商學院,甲,教授
T0133,馮騾氓,0,資工系,資電學院,丙,教授
T0367,邵胖苜,0,運輸物流系,建設學院,乙,助理教授
T0765,曾廟戡,0,電子系,資電學院,丁,教授
T0496,連甕榜,0,資電系,資電學院,甲,教授
T0180,朱良摑,0,運輸物流系,建設學院,丁,助理教授
T0056,彭官氳,0,財稅系,商學院,丁,職員
T0780,康毗霏,0,精密學程,工程與科學學院,甲,助理教授
T0740,郭蓀庵,0,統計系,商學院,丙,教授
T0368,鄭齧嬉,0,財稅系,商學院,丁,助理教授
T0317,古經星,0,光電系,工程與科學學院,丁,副教授
T0484,洪鴣瓶,0,資工系,資電學院,乙,副教授
T0702,歐影憂,0,通訊系,資電學院,乙,職員
T0538,童鑼鑾,0,水利系,建設學院,丁,教授
T0025,邵遮漾,0,自控系,資電學院,丙,教授
T0045,童慢鋪,0,商學學士學位學程,商學院,丁,副教授
T0541,許護匆,0,會計系,商學院,丙,職員
T0880,嚴狼鼇,0,企管系,商學院,甲,教授
T0010,李媚慣,0,資工系,資電學院,甲,副教授
